상품번호,상품명,판매가격,재고수량
인기 좋은 풀 칼라 니트,21000,45,1
몽골느낌나는셔츠,19000,89,2
무지개 색 양말,35000,43,3
민트 반바지,24900,89,4
네페라 손 세정제 대용량 500ml 이더블유지,7000,79,5
에어팟프로 AirPods PRO 블루투스 이어폰(MWP22KH/A),260800,26,6
ZEROVITY™ Flip Flop Cream 2.0 (Z-FF-CRAJ-),38000,81,7
마스크 스트랩 분실방지 오염방지 목걸이,2800,85,8
20SS 오픈 카라/투 버튼 피케 티셔츠 (6color),33250,99,9
[29Edition.]_[스페셜구성] 뉴코튼베이직 브라렛 세트 (브라1+팬티2),24900,60,10
SHUT UP [TK00112],28000,35,11
"[리퍼브/키친마켓] Fabrik Pottery Cup, Saucer (단품)",10000,64,12
플루크 new 피그먼트 오버핏 반팔티셔츠 FST701 / 7color M,19800,7,13
무설탕 프로틴 초콜릿 틴볼스,12900,8,14
[29Edition.]_[스페셜구성] 렉시 브라렛 세트(브라1+팬티2),24900,41,15
폴로 랄프로렌 남성 수영복반바지 컬렉션 (51color),39500,50,16
파버카스텔 연필1자루,200,70,17
캠핑덕 우드롤테이블,45000,7,18
BS 02-2A DAYPACK 26 (BLACK),238000,5,19
